absins	absence
tekstbøk	textbook
tekst	text
telefón	telephone
teleskóp	telescope
televižin	television
tel	tell
tempøreré	temporary
tempricør	temperature
tempul	temple
tend	tend
tendinsé	tendency
tendør	tender
ten	ten
tenis	tennis
tenšin	tension
tent	tent
ter	tear
teriblé	terribly
teribul	terrible
teritóré	territory
terør	terror
terørism	terrorism
terørist	terrorist
test	test
testifí	testify
testimóné	testimony
testing	testing
téc	teach
técing	teaching
técør	teacher
té	tea
tém	team
témmát	teammate
ténáj	teenage
ténájør	teenager
tén	teen
téspún	teaspoon
tikit	ticket
til	till
timbør	timber
tip	tip
tipiklé	typically
tipikul	typical
tišéú	tissue
tíd	tide
tí	tie
tíl	tile
tím	time
tíming	timing
tíné	tiny
típ	type
tírd	tired
tír	tire
tít	tight
títin	tighten
títlé	tightly
títul	title
tok	talk
toksik	toxic
tol	tall
tolørát	tolerate
tolørins	tolerance
top	top
topik	topic
torgit	target
tos	toss
tó	toe
tói	toy
tóilit	toilet
tól	toll
tón	tone
tótulé	totally
tótul	total
tørán	terrain
tørifik	terrific
tørké	turkey
tørm	term
tørmz	terms
tørn	turn
tørnimint	tournament
trafik	traffic
trajidé	tragedy
trajik	tragic
trak	track
transakšin	transaction
transfórm	transform
transfør	transfer
transførmášin	transformation
transišin	transition
transit	transit
translášin	translation
translát	translate
transmišin	transmission
transmit	transmit
transpórt	transport
transpørtášin	transportation
trap	trap
traš	trash
travilør	traveler
travul	travel
trád	trade
tráding	trading
trá	tray
trál	trail
trálør	trailer
trán	train
tráning	training
tránør	trainer
trás	trace
trát	trait
trend	trend
trežør	treasure
tré	tree
trété	treaty
trét	treat
trétmint	treatment
trigør	trigger
trik	trick
trimendis	tremendous
trim	trim
trip	trip
tríb	tribe
tríbul	tribal
trí	try
tríul	trial
tríumf	triumph
tromu	trauma
tropikul	tropical
trubuld	troubled
trubul	trouble
trudišin	tradition
trudišinulé	traditionally
trudišinul	traditional
truk	truck
trunk	trunk
trust	trust
trú	true
trúlé	truly
trúp	troop
trúth	truth
tu	to
tubakó	tobacco
tucdaún	touchdown
tuc	touch
tudá	today
tuf	tough
tugedhør	together
tuk	tuck
tumátó	tomato
tumoró	tomorrow
tumotó	tomato
tung	tongue
tunít	tonight
tunul	tunnel
tú-thørdz	two-thirds
túb	tube
túelv	twelve
túenté	twenty
túentéith	twentieth
tú	too
tú	two
túin	twin
túist	twist
túís	twice
túl	tool
túmør	tumor
tún	tune
túórd	toward
túórdz	towards
túr	tour
túrism	tourism
túrist	tourist
túth	tooth
Túzdá	Tuesday
TV	TV
thank	thank
thanks	thanks
Thanksgiving	Thanksgiving
thaúzind	thousand
theripé	therapy
theripist	therapist
théilojikul	theological
théiretikul	theoretical
théitør	theater
thém	theme
théolijé	theology
thik	thick
thin	thin
thing	thing
think	think
thinking	thinking
thiré	theory
thí	thigh
thot	thought
thørd	third
thøró	thorough
thørté	thirty
thørulé	thoroughly
Thørzdá	Thursday
thred	thread
threšhóld	threshold
thret	threat
thretin	threaten
thré	three
thrív	thrive
thró	throw
thrót	throat
thrúaút	throughout
thrú	through
thum	thumb
ubandin	abandon
ubaút	about
ubéús	abuse
ubilité	ability
ubjekšin	objection
ubjekt	object
ubjektiv	objective
ubrod	abroad
ubtán	obtain
ubuv	above
ubzórb	absorb
ubzørv	observe
ubzørvør	observer
ucév	achieve
ucévmint	achievement
udapt	adapt
udišin	addition
udišinul	additional
udopšin	adoption
udopt	adopt
udres	address
udult	adult
udhør	other
udhørúíz	otherwise
udhørz	others
u	a
ufár	affair
ufekt	affect
ufendør	offender
ufens	offense
ufensiv	offensive
ufišulé	officially
ufišul	official
ufórd	afford
ufrád	afraid
u	uh
ugen	again
ugenst	against
uglé	ugly
ugó	ago
ugresiv	aggressive
ugrešin	aggression
ugré	agree
ugrémint	agreement
ujendu	agenda
ujust	adjust
ujustmint	adjustment
ukaúnt	account
ukaúntibilité	accountability
ukaúnting	accounting
ukážin	occasion
ukážinulé	occasionally
ukážinul	occasional
ukéuz	accuse
ukompliš	accomplish
ukomplišmint	accomplishment
ukomudát	accommodate
ukórding	according
ukør	occur
ukros	across
ukumpiné	accompany
ukúír	acquire
ulabørát	elaborate
ulaú	allow
ulejid	alleged
ulejidlé	allegedly
ulekšin	election
ulekt	elect
ulektrik	electric
ulektrikul	electrical
ulektrisité	electricity
ulektronik	electronic
ulektroniks	electronics
ulevin	eleven
uliminát	eliminate
Ulimpik	Olympic
Ulimpiks	Olympics
ulíins	alliance
ulík	alike
ulív	alive
ulong	along
ulongsíd	alongside
ulorm	alarm
ulón	alone
ultimit	ultimate
ultimitlé	ultimately
ulúminum	aluminum
umaúnt	amount
umázing	amazing
umendmint	amendment
umid	amid
umung	among
unalisis	analysis
unaúns	announce
unaúnsmint	announcement
unábul	unable
undør	under
undørgó	undergo
undørgrajúit	undergraduate
undørlíing	underlying
undørmín	undermine
undørstand	understand
undørstanding	understanding
undørták	undertake
unekspektid	unexpected
unemplóimint	unemployment
unéin	onion
unéúžúul	unusual
unfár	unfair
unfóld	unfold
unfórcinitlé	unfortunately
unkul	uncle
unkumftørbul	uncomfortable
unkuvør	uncover
unles	unless
unlík	unlike
unlíklé	unlikely
unnón	unknown
unonimis	anonymous
unpresidentid	unprecedented
unsørtin	uncertain
unsørtinté	uncertainty
until	until
unudhør	another
unhapé	unhappy
updát	update
uperint	apparent
uperintlé	apparently
upél	appeal
upér	appear
upérins	appearance
up	up
upinéin	opinion
uplí	apply
upolijé	apology
upolijíz	apologize
upon	upon
uport	apart
uportmint	apartment
upóint	appoint
upóintmint	appointment
upónint	opponent
upózd	opposed
upóz	oppose
upør	upper
upréšéášin	appreciation
upréšéát	appreciate
uproksimitlé	approximately
upróc	approach
uprópréit	appropriate
uprúv	approve
uprúvul	approval
upset	upset
upsterz	upstairs
uraúnd	around
urá	array
uránj	arrange
uránjmint	arrangement
urest	arrest
urénu	arena
urijinulé	originally
urijinul	original
urív	arrive
urívul	arrival
uríz	arise
usemblé	assembly
usembul	assemble
uses	assess
usesmint	assessment
us	us
usist	assist
usistins	assistance
usistint	assistant
usíd	aside
usín	assign
usínmint	assignment
uslép	asleep
usolt	assault
usóšéášin	association
usóšéátid	associated
usóšéit	associate
usørt	assert
ustronimør	astronomer
usumpšin	assumption
usúm	assume
ušúr	assure
utac	attach
utak	attack
utempt	attempt
utend	attend
utendins	attendance
utenšin	attention
utonimé	autonomy
utop	atop
utørné	attorney
utrakšin	attraction
utrakt	attract
utraktiv	attractive
utribéút	attribute
uthórité	authority
uúá	away
uúák	awake
uúát	await
uúer	aware
uúernis	awareness
uúórd	award
uválibilité	availability
uválibul	available
uv	of
uvin	oven
uvóid	avoid
uhed	ahead
u'klok	o'clock
úagin	wagon
úaú	wow
úá	way
úá	weigh
úáj	wage
úák	wake
úál	whale
úást	waist
úást	waste
úát	wait
úát	weight
úáv	wave
úeb	web
úeding	wedding
úedhør	weather
úedhør	whether
úel-béing	well-being
úel-nón	well-known
úelfár	welfare
úel	well
úelkum	welcome
úelthé	wealthy
úelth	wealth
úenevør	whenever
úen	when
Úenzdá	Wednesday
úepin	weapon
úeraz	whereas
úerevør	wherever
úer	wear
úer	where
úerhaús	warehouse
úest	west
úestørn	western
úet	wet
úéd	weed
úé	we
úékend	weekend
úék	weak
úék	week
úékin	weaken
úéklé	weekly
úéknis	weakness
úélcár	wheelchair
úél	wheel
úérd	weird
úét	wheat
úév	weave
úic	which
úidó	widow
úildørnis	wilderness
úil	will
úiling	willing
úilingnis	willingness
úind	wind
úindó	window
úin	win
úing	wing
úinør	winner
úintør	winter
úip	whip
úisdum	wisdom
úispør	whisper
úiš	wish
úitnis	witness
úithaút	without
úithdro	withdraw
úithdrol	withdrawal
úith	with
úithin	within
úíd	wide
úídlé	widely
úídspred	widespread
úíf	wife
úí	why
úíld	wild
úíldlíf	wildlife
úíl	while
úín	wine
úíp	wipe
úír	wire
úít	white
úíz	wise
úoc	watch
úok	walk
úoking	walking
úol	wall
úondør	wander
úont	want
úoš	wash
úotør	water
úóréør	warrior
úór	war
úórm	warm
úórmth	warmth
úórn	warn
úórning	warning
úød	wood
úød	would
úødin	wooden
úømin	woman
úørd	word
úøréd	worried
úøré	worry
úørkaút	workout
úørk	work
úørking	working
úørkør	worker
úørkplás	workplace
úørks	works
úørkšop	workshop
úørld	world
úørldúíd	worldwide
úørth	worth
úøúnd	wound
úulf	wolf
úun-thørd	one-third
úundørful	wonderful
úundør	wonder
úun	one
úuns	once
úutevør	whatever
úut	what
vakéúm	vacuum
vaksén	vaccine
valé	valley
valéibul	valuable
valéú	value
valid	valid
van	van
vaniš	vanish
vast	vast
vákášin	vacation
vejtibul	vegetable
vencør	venture
vendør	vendor
veréášin	variation
veré	vary
veré	very
veréibul	variable
veréis	various
vesul	vessel
vetirin	veteran
véikul	vehicle
véu	via
véú	view
véúør	viewer
vidéó	video
viktim	victim
viktøré	victory
vilij	village
vizibul	visible
vizit	visit
vizitør	visitor
vižin	vision
vižúul	visual
vílins	violence
vílint	violent
víris	virus
vítimin	vitamin
vítul	vital
víulášin	violation
víulát	violate
voléúm	volume
volinteré	voluntary
volintér	volunteer
vóis	voice
vókul	vocal
vót	vote
vóting	voting
vótør	voter
vørbul	verbal
vørcú	virtue
vørcúulé	virtually
vørcúul	virtual
vørdikt	verdict
vørsis	versus
vørtikul	vertical
vøržin	version
vulidité	validity
vulnribul	vulnerable
vuríité	variety
zón	zone
žonru	genre
habitat	habitat
habit	habit
haf	half
hafúá	halfway
handful	handful
hand	hand
handul	handle
hang	hang
hansum	handsome
hapé	happy
hapénis	happiness
hapilé	happily
hapin	happen
hat	hat
haúevør	however
haú	how
haús	house
haúshóld	household
haúzing	housing
hav	have
hazørd	hazard
há	hey
hár	hair
hát	hate
hedák	headache
hed	head
hedkúórtørz	headquarters
hedlín	headline
hel	hell
helikoptør	helicopter
helmit	helmet
heló	hello
helpful	helpful
help	help
helthé	healthy
helth	health
hens	hence
heritij	heritage
hevé	heavy
hevilé	heavily
hevin	heaven
hezitát	hesitate
hé	he
hél	heal
hél	heel
hér	hear
hér	here
héring	hearing
héró	hero
hét	heat
héúj	huge
héúmanité	humanity
héúmin	human
héúmør	humor
hidin	hidden
hil	hill
him	him
himself	himself
hint	hint
hip	hip
Hispanik	Hispanic
históréin	historian
histórik	historic
históriklé	historically
histórikul	historical
histøré	history
hit	hit
hiz	his
hí-tek	high-tech
híd	hide
hí	hi
hí	high
hík	hike
hílé	highly
hílít	highlight
hípothisis	hypothesis
hír	hire
hít	height
híúá	highway
ho	ha
hoké	hockey
hol	hall
hol	haul
holidá	holiday
holúá	hallway
hord	hard
hordlé	hardly
hordúer	hardware
horm	harm
hormuné	harmony
horš	harsh
hort	heart
horvist	harvest
hospitul	hospital
hostij	hostage
hostul	hostile
hot	hot
hóld	hold
hólé	holy
hól	hole
hól	whole
hóm	home
hómland	homeland
hómlis	homeless
hómúørk	homework
hópfulé	hopefully
hóp	hope
hóribul	horrible
hórmón	hormone
hórn	horn
hórør	horror
hórs	horse
hóst	host
hótel	hotel
høk	hook
hørasmint	harassment
høré	hurry
hør	her
hørikán	hurricane
hørízin	horizon
hørself	herself
hørt	hurt
hørz	hers
hu	huh
hug	hug
hundrid	hundred
huné	honey
hungør	hunger
hungré	hungry
hunt	hunt
hunting	hunting
huntør	hunter
huzbind	husband
húevør	whoever
hú	who
húm	whom
húz	whose
